ID,Título,Precio,Moneda,Estado,Stock,Vendidos,Link
"MLU629351091","Flores Secas 1000 Unidades De 2 Variedades","600","UYU","active","1","8","https://articulo.mercadolibre.com.uy/MLU-629351091-flores-secas-1000-unidades-de-2-variedades-_JM"
"MLU629346222","Flores Secas Siemprevivas Amarillas X 35","400","UYU","paused","0","4","https://articulo.mercadolibre.com.uy/MLU-629346222-flores-secas-siemprevivas-amarillas-x-35-_JM"
"MLU631649156","Flores Secas Y Espigas 120 Unidades","400","UYU","paused","0","1","https://articulo.mercadolibre.com.uy/MLU-631649156-flores-secas-y-espigas-120-unidades-_JM"
"MLU606250798","Flores Secas Pequeñas Prensadas ","640","UYU","active","1","17","https://articulo.mercadolibre.com.uy/MLU-606250798-flores-secas-pequenas-prensadas-_JM"
"MLU636663896","Flores Secas Siemprevivas Amarillas Y Naranjas","420","UYU","paused","0","4","https://articulo.mercadolibre.com.uy/MLU-636663896-flores-secas-siemprevivas-amarillas-y-naranjas-_JM"
"MLU644139766","Flores Secas Super Mix De Variedades ","630","UYU","active","1","9","https://articulo.mercadolibre.com.uy/MLU-644139766-flores-secas-super-mix-de-variedades-_JM"
"MLU644773500","Flores Secas Gomphfrena X 50 Unidades","100","UYU","paused","0","1","https://articulo.mercadolibre.com.uy/MLU-644773500-flores-secas-gomphfrena-x-50-unidades-_JM"
"MLU630561973","Flores Secas Ramitos X 15","500","UYU","paused","2","3","https://articulo.mercadolibre.com.uy/MLU-630561973-flores-secas-ramitos-x-15-_JM"
"MLU646732090","Flores Secas Espigas De Alpiste X 500 Unidades","950","UYU","active","1","5","https://articulo.mercadolibre.com.uy/MLU-646732090-flores-secas-espigas-de-alpiste-x-500-unidades-_JM"
"MLU647118650","Flores Secas Alpiste X 300 Espigas","580","UYU","active","2","1","https://articulo.mercadolibre.com.uy/MLU-647118650-flores-secas-alpiste-x-300-espigas-_JM"
"MLU647776900","Flores Secas Amapolas","450","UYU","paused","3","1","https://articulo.mercadolibre.com.uy/MLU-647776900-flores-secas-amapolas-_JM"
"MLU653223056","Espigas De Alpiste 100 Unidades","350","UYU","active","2","2","https://articulo.mercadolibre.com.uy/MLU-653223056-espigas-de-alpiste-100-unidades-_JM"
"MLU620073561","Espigas De Avena","400","UYU","active","2","1","https://articulo.mercadolibre.com.uy/MLU-620073561-espigas-de-avena-_JM"
"MLU677420800","Flores Secas Mix","400","UYU","active","2","29","https://articulo.mercadolibre.com.uy/MLU-677420800-flores-secas-mix-_JM"
"MLU639637293","Flores Secas Amapolas","400","UYU","paused","3","1","https://articulo.mercadolibre.com.uy/MLU-639637293-flores-secas-amapolas-_JM"
"MLU639623935","Flores Secas En Organizador S","750","UYU","active","1","5","https://articulo.mercadolibre.com.uy/MLU-639623935-flores-secas-en-organizador-s-_JM"
"MLU679926114","Flores Secas Frasquitos 5 Unidades","590","UYU","paused","2","0","https://articulo.mercadolibre.com.uy/MLU-679926114-flores-secas-frasquitos-5-unidades-_JM"
"MLU682235102","Flores Secas Mazorcas Chicas Para Decoración","400","UYU","paused","5","0","https://articulo.mercadolibre.com.uy/MLU-682235102-flores-secas-mazorcas-chicas-para-decoracion-_JM"
"MLU682203698","Flores Secas Eucaliptus","480","UYU","paused","0","10","https://articulo.mercadolibre.com.uy/MLU-682203698-flores-secas-eucaliptus-_JM"
"MLU682151694","Flores Secas Mazorcas Para Decoración","800","UYU","paused","2","0","https://articulo.mercadolibre.com.uy/MLU-682151694-flores-secas-mazorcas-para-decoracion-_JM"
"MLU682136202","Flores Secas 10 Mini Ramitos","300","UYU","paused","0","33","https://articulo.mercadolibre.com.uy/MLU-682136202-flores-secas-10-mini-ramitos-_JM"
